PDBID,MUTATION,TS,POTENTIAL
2BYG,B2838Y,328,24026.3881
2BYG,B2838Y,329,24027.0473
2BYG,B2838Y,330,24016.6635
2BYG,B2838Y,331,24016.6738
2BYG,B2838Y,332,23809.0397
2BYG,B2838Y,333,23823.7684
2BYG,B2838Y,334,23821.5577
2BYG,B2838Y,335,23808.5855
2BYG,B2838Y,336,23808.3706
2BYG,B2838Y,337,23808.3709
2BYG,B2838Y,338,23775.7600
2BYG,B2838Y,339,23768.5664
2BYG,B2838Y,340,23795.4464
2BYG,B2838Y,341,23767.2743
2BYG,B2838Y,342,23590.7427
2BYG,B2838Y,343,23490.8415
2BYG,B2838Y,344,23468.5180
2BYG,B2838Y,345,23473.1349
2BYG,B2838Y,346,23468.3358
2BYG,B2838Y,347,23468.3182
2BYG,B2838Y,348,23187.5909
2BYG,B2838Y,349,22954.0387
2BYG,B2838Y,350,22765.1528
2BYG,B2838Y,351,22643.9675
2BYG,B2838Y,352,22638.2725
2BYG,B2838Y,353,22737.1661
2BYG,B2838Y,354,22623.3944
2BYG,B2838Y,355,22623.5163
2BYG,B2838Y,356,22623.3841
2BYG,B2838Y,357,22400.1476
2BYG,B2838Y,358,22297.1883
2BYG,B2838Y,359,22621.7382
2BYG,B2838Y,360,22294.2166
2BYG,B2838Y,361,22292.1263
2BYG,B2838Y,362,22292.1289
2BYG,B2838Y,363,22121.8964
2BYG,B2838Y,364,22079.1002
2BYG,B2838Y,365,22062.2234
2BYG,B2838Y,366,22071.6360
2BYG,B2838Y,367,22061.9276
2BYG,B2838Y,368,21822.4127
2BYG,B2838Y,369,21632.8253
2BYG,B2838Y,370,21413.2247
2BYG,B2838Y,371,21381.9955
2BYG,B2838Y,372,21418.9580
2BYG,B2838Y,373,21377.0198
2BYG,B2838Y,374,21376.0953
2BYG,B2838Y,375,21375.9753
2BYG,B2838Y,376,21375.9524
2BYG,B2838Y,377,21147.0513
2BYG,B2838Y,378,21031.7974
2BYG,B2838Y,379,20964.6843
2BYG,B2838Y,380,20815.3997
2BYG,B2838Y,381,20714.3921
2BYG,B2838Y,382,20666.0024
2BYG,B2838Y,383,20835.9916
2BYG,B2838Y,384,20665.5625
2BYG,B2838Y,385,20665.5395
2BYG,B2838Y,386,20460.8451
2BYG,B2838Y,387,20660.1031
2BYG,B2838Y,388,20457.0764
2BYG,B2838Y,389,20460.0124
2BYG,B2838Y,390,20457.0200
2BYG,B2838Y,391,20456.9956
2BYG,B2838Y,392,20456.9955
2BYG,B2838Y,393,20370.5617
2BYG,B2838Y,394,20366.9389
2BYG,B2838Y,395,20379.1879
2BYG,B2838Y,396,20366.9594
2BYG,B2838Y,397,20224.9649
2BYG,B2838Y,398,20166.6011
2BYG,B2838Y,399,20159.3116
2BYG,B2838Y,400,20189.3725
2BYG,B2838Y,401,20157.2811
2BYG,B2838Y,402,20157.3491
2BYG,B2838Y,403,20157.2795
2BYG,B2838Y,404,19919.2712
2BYG,B2838Y,405,19737.0380
2BYG,B2838Y,406,19588.3695
2BYG,B2838Y,407,19502.6232
2BYG,B2838Y,408,19488.1565
2BYG,B2838Y,409,19519.8924
2BYG,B2838Y,410,19486.4043
2BYG,B2838Y,411,19486.4470
2BYG,B2838Y,412,19486.3848
2BYG,B2838Y,413,19263.8367
2BYG,B2838Y,414,19129.3373
2BYG,B2838Y,415,19071.6378
2BYG,B2838Y,416,19067.1232
2BYG,B2838Y,417,19084.5750
2BYG,B2838Y,418,19065.3461
2BYG,B2838Y,419,19065.2824
2BYG,B2838Y,420,18889.1009
2BYG,B2838Y,421,18755.6014
2BYG,B2838Y,422,18682.6460
2BYG,B2838Y,423,18682.3291
2BYG,B2838Y,424,18720.9176
2BYG,B2838Y,425,18675.3216
2BYG,B2838Y,426,18675.2808
2BYG,B2838Y,427,18675.2771
2BYG,B2838Y,428,18462.4698
2BYG,B2838Y,429,18352.2991
2BYG,B2838Y,430,18319.7361
2BYG,B2838Y,431,18325.3147
2BYG,B2838Y,432,18319.1243
2BYG,B2838Y,433,18319.0737
2BYG,B2838Y,434,18140.9838
2BYG,B2838Y,435,18018.1251
2BYG,B2838Y,436,17959.5388
2BYG,B2838Y,437,17979.2976
2BYG,B2838Y,438,17958.4371
2BYG,B2838Y,439,17958.3762
2BYG,B2838Y,440,17749.0202
2BYG,B2838Y,441,17657.3833
2BYG,B2838Y,442,17641.6585
2BYG,B2838Y,443,17655.1355
2BYG,B2838Y,444,17641.3608
2BYG,B2838Y,445,17641.3696
2BYG,B2838Y,446,17461.8797
2BYG,B2838Y,447,17345.6854
2BYG,B2838Y,448,17311.3786
2BYG,B2838Y,449,17370.3989
2BYG,B2838Y,450,17308.9500
2BYG,B2838Y,451,17062.9345
2BYG,B2838Y,452,16991.9255
2BYG,B2838Y,453,16992.8514
